geo_index,rp_lat,rp_lon,b,label
17959,52.00285689267605,4.365820153268142,8.80570278617131,Redelijk
17961,52.00285689267605,4.365820153268142,8.80570278617131,Slecht
17962,52.00285689267605,4.365820153268142,8.80570278617131,Matig
17963,52.00285689267605,4.365820153268142,8.80570278617131,Redelijk
17964,52.00285689267605,4.365820153268142,8.80570278617131,Slecht
17965,52.00285689267605,4.365820153268142,8.80570278617131,Redelijk
17966,52.00285689267605,4.365820153268142,8.80570278617131,Redelijk
17967,52.000821733114805,4.365998510670367,343.14470126529176,Redelijk
17968,52.000821733114805,4.365998510670367,343.14470126529176,Redelijk
17970,52.000821733114805,4.365998510670367,343.14470126529176,Redelijk
17971,52.0020173132316,4.365772780255657,207.92233684662142,Redelijk
17972,52.0020173132316,4.365772780255657,207.92233684662142,Matig
17977,52.000821733114805,4.365998510670367,343.14470126529176,Matig
17978,52.00118943504692,4.367003761709321,148.67818787737554,Matig
17979,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17980,52.00714340947809,4.365328976297826,338.77731191422595,Matig
17981,52.000821733114805,4.365998510670367,343.14470126529176,Slecht
17982,52.00583316103074,4.3669489086511515,351.58579400301807,Matig
17983,52.0012582155652,4.3674131159921075,6.009887643526952,Matig
17984,52.0012582155652,4.3674131159921075,6.009887643526952,Matig
17985,52.000821733114805,4.365998510670367,343.14470126529176,Matig
17986,52.000821733114805,4.365998510670367,343.14470126529176,Matig
17987,52.000821733114805,4.365998510670367,343.14470126529176,Slecht
17988,52.0020173132316,4.365772780255657,207.92233684662142,Matig
17989,52.0020173132316,4.365772780255657,207.92233684662142,Matig
17990,52.0020173132316,4.365772780255657,207.92233684662142,Matig
17991,52.0020173132316,4.365772780255657,207.92233684662142,Matig
17992,52.000821733114805,4.365998510670367,343.14470126529176,Matig
17993,52.000821733114805,4.365998510670367,343.14470126529176,Slecht
17994,52.000821733114805,4.365998510670367,343.14470126529176,Matig
17995,52.000821733114805,4.365998510670367,343.14470126529176,Matig
17996,52.000821733114805,4.365998510670367,343.14470126529176,Matig
17997,52.000821733114805,4.365998510670367,343.14470126529176,Matig
17998,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17999,52.003743086262155,4.366948131911022,33.0707330069539,Slecht
18000,52.003743086262155,4.366948131911022,33.0707330069539,Slecht
18001,52.003743086262155,4.366948131911022,33.0707330069539,Slecht
18002,52.0061729669011,4.366271209661061,150.5932665609763,Matig
18003,52.0061729669011,4.366271209661061,150.5932665609763,Matig
18004,52.0061729669011,4.366271209661061,150.5932665609763,Matig
18005,52.0061729669011,4.366271209661061,150.5932665609763,Matig
18006,52.00659839432049,4.3668004840964745,11.077429651206955,Matig
18008,52.00572844380439,4.36629455303875,328.70280025724867,Matig
18009,52.0061729669011,4.366271209661061,150.5932665609763,Matig
